	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
886	6176	0	I	2020-03-12	5207	[]	2020-03-17	G23556	North America	USA
887	4620	1	I	2020-03-20	2215	[]	2020-04-03	G23557	North America	USA
888		0	S			[]		G23558	North America	USA
889		1	S			[]		G23559	North America	USA
890		0	S			[]		G23560	North America	USA
891		1	S			[]		G23561	North America	USA
892		1	S			[]		G23562	North America	USA
893		0	S			[]		G23563	North America	USA
894		1	S			[]		G23564	North America	USA
895	1823	1	I	2020-03-13	1000	[]	2020-03-30	G23565	North America	USA
896	1311	1	I	2020-03-30	6551	[]	2020-04-04	G23566	North America	USA
897		1	S			[]		G23567	North America	USA
898		1	S			[]		G23568	North America	USA
899		0	S			[]		G23569	North America	USA
900		1	S			[]		G23570	North America	USA
901	2571	1	I	2020-03-30	1586	[]	2020-04-01	G23571	North America	USA
902		1	S			[]		G23572	North America	USA
903		0	S			[]		G23573	North America	USA
904		1	S			[]		G23574	North America	USA
905	9990	1	I	2020-03-08	5936	[]	2020-03-11	G23575	North America	USA
906		1	S			[]		G23576	North America	USA
907		0	S			[]		G23577	North America	USA
908	4277	1	I	2020-03-31	712	[]	2020-04-13	G23578	North America	USA
909		1	S			[]		G23579	North America	USA
910		0	S			[]		G23580	North America	USA
911		0	S			[]		G23581	North America	USA
912		0	S			[]		G23582	North America	USA
913		1	S			[]		G23583	North America	USA
914		0	S			[]		G23584	North America	USA
915		0	S			[]		G23585	North America	USA
916		0	S			[]		G23586	North America	USA
917		0	S			[]		G23587	North America	USA
918		0	S			[]		G23588	North America	USA
919		0	S			[]		G23589	North America	USA
920		0	S			[]		G23590	North America	USA
921	7069	1	I	2020-03-09	4546	[]	2020-03-13	G23591	North America	USA
922		0	S			[]		G23592	North America	USA
923		1	S			[]		G23593	North America	USA
924	4546	1	I	2020-03-05	5936	[]	2020-04-07	G23594	North America	USA
925		1	S			[]		G23595	North America	USA
926		0	S			[]		G23596	North America	USA
927		1	S			[]		G23597	North America	USA
928		1	S			[]		G23598	North America	USA
929		1	S			[]		G23599	North America	USA
930		0	S			[]		G23600	North America	USA
931		0	S			[]		G23601	North America	USA
932	9201	0	I	2020-03-18	1838	[]	2020-03-29	G23602	North America	USA
933		0	S			[]		G23603	North America	USA
934		1	S			[]		G23604	North America	USA
935		1	S			[]		G23605	North America	USA
936		0	S			[]		G23606	North America	USA
937	2193	0	I	2020-03-30	2077	[]	2020-04-05	G23607	North America	USA
938		0	S			[]		G23608	North America	USA
939	4653	0	I	2020-03-20	7036	[]	2020-04-17	G23609	North America	USA
940		1	S			[]		G23610	North America	USA
941		0	S			[]		G23611	North America	USA
942		0	S			[]		G23612	North America	USA
